procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 255840   3332 289928    0    0     0     0  103  232  0  2 98  0  0
 3  0      0 255840   3332 289928    0    0     0     8  108  228  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  109  233  0  3 97  0  0
 0  0      0 255840   3332 289928    0    0     0     0   99  226  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  102  235  0  0 100  0  0
 0  0      0 255840   3332 289928    0    0     0     0  103  236  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  103  227  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  113  243  0  3 97  0  0
 0  0      0 255840   3332 289928    0    0     0     0  108  236  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  113  242  0  3 97  0  0
 1  0      0 255840   3332 289928    0    0     0     0  117  250  0  1 99  0  0
 0  0      0 255840   3332 289928    0    0     0     0  104  240  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  116  244  0  2 98  0  0
 0  0      0 255840   3332 289928    0    0     0     0  113  232  0  4 96  0  0
 0  0      0 255840   3332 289928    0    0     0     0  111  236  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 255840   3332 289936    0    0     0     0  101  236  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  109  243  0  1 99  0  0
 1  0      0 255840   3332 289936    0    0     0     0  105  227  0  3 97  0  0
 2  0      0 255840   3332 289936    0    0     0     0  106  235  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     2  112  247  0  1 99  0  0
 0  0      0 255840   3332 289936    0    0     0     0  116  234  1  4 95  0  0
 0  0      0 255840   3332 289936    0    0     0     0  111  231  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  117  245  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  101  220  0  3 97  0  0
 0  0      0 255840   3332 289936    0    0     0     0  108  240  0  1 99  0  0
